ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,n_pc,model,yhat
"(1996, 1)",0.0,train,3,1,meeting minutes,,UST,4,106,1 Mo,128,y_bl,-0.03282972550092894
"(1996, 1)",0.0,train,3,1,meeting minutes,,UST,4,106,1 Mo,128,y_probe,-0.023389944847080683
"(1996, 3)",0.07738666361542093,train,3,1,meeting minutes,,UST,4,77,1 Mo,128,y_bl,-0.03282972550092894
"(1996, 3)",0.07738666361542093,train,3,1,meeting minutes,,UST,4,77,1 Mo,128,y_probe,-0.020583116834277743
"(1996, 5)",0.035824726518145805,train,3,1,meeting minutes,,UST,4,88,1 Mo,128,y_bl,-0.05366709740432064
"(1996, 5)",0.035824726518145805,train,3,1,meeting minutes,,UST,4,88,1 Mo,128,y_probe,-0.018845624587745628
"(1996, 7)",0.013110165924207662,train,3,1,meeting minutes,,UST,4,124,1 Mo,128,y_bl,-0.056326084026111965
"(1996, 7)",0.013110165924207662,train,3,1,meeting minutes,,UST,4,124,1 Mo,128,y_probe,-0.019611232043337177
"(1996, 8)",-0.016047025597516695,train,3,1,meeting minutes,,UST,4,75,1 Mo,128,y_bl,-0.029950710124355136
"(1996, 8)",-0.016047025597516695,train,3,1,meeting minutes,,UST,4,75,1 Mo,128,y_probe,-0.02151852148624623
"(1996, 9)",0.03184060585565751,train,3,1,meeting minutes,,UST,4,91,1 Mo,128,y_bl,-0.02492008837915947
"(1996, 9)",0.03184060585565751,train,3,1,meeting minutes,,UST,4,91,1 Mo,128,y_probe,-0.020914913580851284
"(1996, 10)",-0.024514565763584573,train,3,1,speech,Chairman Alan Greenspan,UST,4,20,1 Mo,128,y_bl,-0.036359273079097
"(1996, 10)",-0.024514565763584573,train,3,1,speech,Chairman Alan Greenspan,UST,4,20,1 Mo,128,y_probe,-0.008890924439472654
"(1996, 11)",-0.06172011215787131,train,3,1,meeting minutes,,UST,4,82,1 Mo,128,y_bl,-0.03458597907582971
"(1996, 11)",-0.06172011215787131,train,3,1,meeting minutes,,UST,4,82,1 Mo,128,y_probe,-0.021537855476843375
"(1996, 12)",0.029076264081508763,train,3,1,meeting minutes,,UST,4,67,1 Mo,128,y_bl,-0.006548274990771102
"(1996, 12)",0.029076264081508763,train,3,1,meeting minutes,,UST,4,67,1 Mo,128,y_probe,-0.015706065260225274
"(1997, 1)",0.02384613737283403,train,3,1,speech,Governor Laurence H. Meyer,UST,4,11,1 Mo,128,y_bl,-0.03367404608155879
"(1997, 1)",0.02384613737283403,train,3,1,speech,Governor Laurence H. Meyer,UST,4,11,1 Mo,128,y_probe,-0.03548302036118238
"(1997, 2)",-0.0073910166463893034,train,3,1,meeting minutes,,UST,4,82,1 Mo,128,y_bl,-0.05467970371117348
"(1997, 2)",-0.0073910166463893034,train,3,1,meeting minutes,,UST,4,82,1 Mo,128,y_probe,-0.016675336335268166
"(1997, 3)",0.029241849594496383,train,3,1,meeting minutes,,UST,4,77,1 Mo,128,y_bl,-0.030290301001583215
